&nbsp;,Time,Freq.,RSSI,SNR,TxPwr,CRC,mod.,CR,DataRate,FCnt,AirTime,DevAddr,FPort,Payload Size,MAC Command
Unconfirmed Data Up,19:05:56,867.5,-43,9,-,CRC_OK,LORA,'4/5',SF7BW125,8957,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 26 69 D4 DE 5C 6F 07 D0 1C B5 B3 99 3E E4 78 4C </span>
Unconfirmed Data Up,19:05:45,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8956,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 E8 92 63 8B 2B E4 F1 46 79 FD BC FA 52 7B FF 72 </span>
Unconfirmed Data Up,19:05:36,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8955,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 53 34 6E 5C 7C 3E 37 65 F6 BA 8E C7 83 B4 BB FB </span>
Unconfirmed Data Up,19:05:26,867.5,-45,9.75,-,CRC_OK,LORA,'4/5',SF7BW125,8954,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 A0 11 02 E9 8A 6C ED 89 A1 7C 99 CF 2A 3C 9D A4 </span>
Unconfirmed Data Up,19:05:16,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8953,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 B9 4B C0 7A FB EC 3D 6D 39 4A 58 DF 83 36 6C 25 </span>
Unconfirmed Data Up,19:05:06,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8952,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 C5 1D 32 03 27 8D 51 54 35 2E B1 6B CB 23 5C C4 </span>
Unconfirmed Data Up,19:04:56,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8951,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 E4 9E 85 EE 57 1B 23 87 3B CD D6 A5 14 46 2A 2D </span>
Unconfirmed Data Up,19:04:46,867.5,-45,10,-,CRC_OK,LORA,'4/5',SF7BW125,8950,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 EA 1D 50 6A FE 62 46 B5 25 7C B3 A1 B1 FA 69 09 </span>
Unconfirmed Data Up,19:04:36,867.5,-44,10,-,CRC_OK,LORA,'4/5',SF7BW125,8949,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 31 38 38 E1 3D 5B 25 18 23 22 77 97 C9 DD B8 98 </span>
Unconfirmed Data Up,19:04:26,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8948,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 AB 5B A6 DC 7B 11 FE 42 74 5A 6B 02 15 D3 A0 CF </span>
Unconfirmed Data Up,19:04:16,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8947,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 56 CC 52 DB A7 C0 34 EE 8F 52 5B 2D A0 67 75 6C </span>
Unconfirmed Data Up,19:04:05,867.5,-44,11,-,CRC_OK,LORA,'4/5',SF7BW125,8946,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 A2 43 03 39 23 F4 0F 44 54 12 D5 22 98 B5 B6 A1 </span>
Unconfirmed Data Up,19:03:55,867.5,-43,9.25,-,CRC_OK,LORA,'4/5',SF7BW125,8945,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 ED E8 C7 55 80 35 44 E0 E2 07 92 D3 3D 8D 6B 12 </span>
Unconfirmed Data Up,19:03:45,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8944,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 4D 60 94 5A B7 61 C9 DE D2 CF 1F 99 28 15 20 3D </span>
