&nbsp;,Time,Freq.,RSSI,SNR,TxPwr,CRC,mod.,CR,DataRate,FCnt,AirTime,DevAddr,FPort,Payload Size,MAC Command
Unconfirmed Data Up,17:35:56,867.1,-57,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,8024,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 13 59 A6 9E BD CE 69 BF B8 D1 43 67 3B E5 5E 81 </span>
Unconfirmed Data Up,17:35:46,867.1,-54,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,8023,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 3D 80 A6 26 8F B8 AE 83 AA DC C5 2D B8 16 EC B2 </span>
Unconfirmed Data Up,17:35:37,867.1,-54,14,-,CRC_OK,LORA,'4/5',SF7BW125,8022,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 C7 A4 6F 8C 49 C4 C9 DA C6 E5 8A 61 30 FC 08 2F </span>
Unconfirmed Data Up,17:35:28,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8021,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 42 03 6A EE A2 04 3F D9 CD DA E4 6E AC A2 9F 03 </span>
Unconfirmed Data Up,17:35:16,867.1,-50,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,8020,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 90 5A 6F BA F3 3D 83 C1 2E 8B 5B 54 C1 86 67 7A </span>
Unconfirmed Data Up,17:35:06,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8019,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 AA 8C 13 F5 65 23 2C E9 C2 E6 2F D6 58 A4 86 7C </span>
Unconfirmed Data Up,17:34:56,867.1,-49,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8018,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 12 2C B2 AA 1B 01 97 E4 81 DC 63 65 7E A4 13 46 </span>
Unconfirmed Data Up,17:34:46,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8017,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 D2 F5 33 A1 AB F3 09 E5 5B 23 D7 FF 3D 7C 84 3C </span>
Unconfirmed Data Up,17:34:36,867.1,-49,14.75,-,CRC_OK,LORA,'4/5',SF7BW125,8016,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 19 6E 09 93 3C 7E 2A 7F 52 34 0E 7B 08 01 C1 76 </span>
Unconfirmed Data Up,17:34:26,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8015,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 21 65 A3 6C F2 DA FD 2B 12 80 63 82 1A 84 A4 90 </span>
Unconfirmed Data Up,17:34:16,867.1,-52,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,8014,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 80 F4 94 12 7F 86 CA 82 2A 97 EA 77 56 67 00 7A </span>
Unconfirmed Data Up,17:34:06,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,8013,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 89 CF D8 79 73 19 99 82 ED 45 2F 25 D2 38 15 8F </span>
Unconfirmed Data Up,17:33:56,867.1,-49,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8012,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 CE DB 37 15 F8 76 82 C9 FD D8 CC 1F EB 2C B9 5C </span>
Unconfirmed Data Up,17:33:46,867.1,-49,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8011,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 B6 88 AE 84 08 1E BC 08 A1 75 37 F6 3E CB CB 1D </span>
Unconfirmed Data Up,17:33:36,867.1,-50,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,8010,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 BC 12 D9 CA 52 E2 27 23 BE E5 47 EC AD CC AC 58 </span>
Unconfirmed Data Up,17:33:26,867.1,-51,13.5,-,CRC_OK,LORA,'4/5',SF7BW125,8009,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 44 67 1B 17 D8 99 00 EA 78 4C 27 B1 CF 3A A0 5F </span>
Unconfirmed Data Up,17:33:16,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8008,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 76 16 F5 F2 AF 42 AB 82 A4 1B D8 67 58 56 1E 67 </span>
Unconfirmed Data Up,17:33:06,867.1,-50,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,8007,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 13 FD 3E FD 39 D2 78 B7 D3 ED 1A 69 18 6A 2F 7D </span>
Unconfirmed Data Up,17:32:56,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,8006,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 D7 68 B1 29 DB A1 23 AB 6F 10 5C BA F0 30 E0 F6 </span>
Unconfirmed Data Up,17:32:46,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,8005,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 5D 55 07 8F 08 B6 2C 0C B7 6E F8 62 96 D2 98 EC </span>
Unconfirmed Data Up,17:32:36,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,8004,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 CB 96 F9 60 82 B7 06 BC 1C 4B BC F0 32 35 AE 58 </span>
Unconfirmed Data Up,17:32:26,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8003,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 85 A0 FA 05 26 E9 42 38 23 6D 9F DD 57 DC 7B F9 </span>
Unconfirmed Data Up,17:32:16,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,8002,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 5A F3 5F B5 E9 4B 47 3A 8A 25 D2 1E 68 8B C5 81 </span>
Unconfirmed Data Up,17:32:06,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,8001,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 35 FE D8 A2 60 EB EC 0C 51 89 14 6D D3 20 C2 B6 </span>
Unconfirmed Data Up,17:31:56,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8000,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 68 C4 9B B0 9D 92 00 58 CD 7B E0 FE 00 E9 11 1B </span>
Unconfirmed Data Up,17:31:46,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7999,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 56 85 09 B2 72 D0 1C C1 1A 6D 58 26 8B 88 A8 24 </span>
Unconfirmed Data Up,17:31:36,867.1,-49,14,-,CRC_OK,LORA,'4/5',SF7BW125,7998,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 72 0B DD 21 7A 49 5D F5 F0 D0 4A AB C4 04 9B 19 </span>
Unconfirmed Data Up,17:31:26,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,7997,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 03 66 1E 98 31 6C 38 BB FB FE 23 BC E2 A0 23 BE </span>
Unconfirmed Data Up,17:31:16,867.1,-50,14.75,-,CRC_OK,LORA,'4/5',SF7BW125,7996,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 CB 19 9F 84 55 72 00 83 07 F8 E6 ED 2F 71 36 1D </span>
Unconfirmed Data Up,17:31:06,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7995,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 73 5B 15 79 AC 7D 09 65 E7 7F 90 8D 8F F8 ED ED </span>
